Rk,name,YoB,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,Barry Bonds,3rd,36.2%,340,76,22,162.5,72.8,117.6,53.2,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78D/9
2,Roger Clemens,3rd,37.6%,332,73,24,140.3,66.3,103.3,61.4,709,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
3,Greg Maddux,2nd,,254,70,23,106.8,56.3,81.6,61.4,759,1591,103,272,5,84,11,34,.171,.191,.205,.395,5,355,227,3.16,132,1.143,744,740,0,5008.1,4726,353,999,3371,*1
4,Randy Johnson,1st,,331,65,22,102.1,62.0,82.0,61.4,619,625,20,78,1,40,0,19,.125,.153,.152,.305,-22,303,166,3.29,135,1.171,618,603,2,4135.1,3346,411,1497,4875,*1/7
5,Pedro Martinez,1st,,206,60,18,84.0,58.2,71.1,61.4,477,434,22,43,0,18,0,15,.099,.134,.122,.256,-32,219,100,2.93,154,1.054,476,409,3,2827.1,2221,239,760,3154,*1
6,Mike Mussina,2nd,,121,54,18,83.0,44.5,63.8,61.4,537,52,3,9,0,5,0,1,.173,.189,.192,.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
7,Tom Glavine,2nd,,176,52,22,81.4,44.3,62.9,61.4,709,1323,93,246,1,90,1,101,.186,.244,.210,.454,22,305,203,3.54,118,1.314,682,682,0,4413.1,4298,356,1500,2607,*1
8,Curt Schilling,3rd,38.8%,171,46,20,79.9,49.0,64.4,61.4,571,773,39,117,0,29,1,25,.151,.178,.171,.348,-9,216,146,3.46,127,1.137,569,436,22,3261.0,2998,347,711,3116,*1
9,Jeff Bagwell,5th,59.6%,150,59,15,79.5,48.2,63.8,54.0,2150,7797,1517,2314,449,1529,202,1401,.297,.408,.540,.948,149,,,,,,,,,,,,,,*3/D9
10,Frank Thomas,2nd,,194,60,19,73.6,45.3,59.5,54.0,2322,8199,1494,2468,521,1704,32,1667,.301,.419,.555,.974,156,,,,,,,,,,,,,,*D*3
11,Larry Walker,5th,21.6%,148,58,17,72.6,44.6,58.6,58.1,1988,6907,1355,2160,383,1311,230,913,.313,.400,.565,.965,141,,,,,,,,,,,,,,*9387/D45
12,Rafael Palmeiro,5th,8.8%,178,57,20,71.8,38.8,55.3,54.0,2831,10472,1663,3020,569,1835,97,1353,.288,.371,.515,.885,132,,,,,,,,,,,,,,*3*D7/98
13,Alan Trammell,14th,33.6%,118,40,20,70.3,44.6,57.5,54.7,2293,8288,1231,2365,185,1003,236,850,.285,.352,.415,.767,110,,,,,,,,,,,,,,*6D5/478
14,John Smoltz,1st,,167,44,21,69.5,38.7,54.1,61.4,735,948,77,151,5,61,3,79,.159,.226,.207,.433,16,213,155,3.33,125,1.176,723,481,154,3473.0,3074,288,1010,3084,*1
15,Tim Raines,8th,52.2%,90,47,23,69.1,42.2,55.6,53.2,2502,8872,1571,2605,170,980,808,1330,.294,.385,.425,.810,123,,,,,,,,,,,,,,*78D4/9
16,Edgar Martinez,6th,35.9%,132,50,18,68.3,43.5,55.9,55.0,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5/3
17,Craig Biggio,3rd,68.2%,169,57,20,64.9,41.6,53.3,57.0,2850,10876,1844,3060,291,1175,414,1160,.281,.363,.433,.796,112,,,,,,,,,,,,,,*4*287/D9
18,Mark McGwire,9th,16.9%,170,42,16,62.0,41.9,52.0,54.0,1874,6187,1167,1626,583,1414,12,1317,.263,.394,.588,.982,163,,,,,,,,,,,,,,*3D/59
19,Gary Sheffield,1st,,158,61,22,60.4,38.0,49.2,58.1,2576,9217,1636,2689,509,1676,253,1475,.292,.393,.514,.907,140,,,,,,,,,,,,,,*9*7*5*D6/3
20,Mike Piazza,3rd,57.8%,207,62,16,59.2,43.1,51.1,43.1,1912,6911,1048,2127,427,1335,17,759,.308,.377,.545,.922,143,,,,,,,,,,,,,,*2D3
